Journal,OA (%),Specialism (% Category Papers),Average Category Papers / Year,Average Citation Categories,Average News Mentions,Average Twitter Mentions
Trends in Anaesthesia and Critical Care,"9,79 %","3,8 %","5,86","3,62","0,36","1,46"
Journal of Plastic Reconstructive & Aesthetic Surgery,"16,93 %","1,47 %","7,46","5,89","0,05","1,6"
IUCrJ,100 %,"2,83 %","2,86","6,69","0,07","7,47"
Sexual Health,"54,9 %","2,87 %","2,13","6,57","0,1","2,01"
BioEssays,"63,86 %","3,89 %","6,57","11,75","0,13","3,29"
Asian Journal of Andrology,100 %,"7,47 %","8,43","8,91","0,13","0,86"
Stem Cells International,100 %,"4,47 %","9,82","14,61","0,04","1,26"
Journal of Investigational Allergology and Clinical Immunology,"98,09 %","5,77 %","6,29","11,22","0,15","1,49"
Neuroscience Bulletin,"88,21 %","3,46 %","5,09","9,38","0,15","1,33"
Gastroenterology Clinics of North America,"17,95 %","14,39 %","8,29","15,86","0,07","3,22"
Journal of Tissue Engineering and Regenerative Medicine,"93,66 %","2,97 %","2,86","14,43","0,08","2,21"
Journal of Materials Chemistry B,"16,44 %","3,28 %","26,36","15,26","0,03","1,93"
Journal of Pain,"78,48 %","1,67 %","6,23","5,39","0,14","2,6"
Current Treatment Options in Infectious Diseases,"39,27 %","23,13 %","4,43","13,63","0,01","12,01"
Archives of Disease in Childhood,"63,98 %",4 %,"37,88","2,37","0,13","4,92"
Integrative Zoology,"33,52 %","4,1 %","2,86","10,58","0,31","2,15"
Sarcoma,100 %,"70,14 %","14,43","10,92","0,22","1,48"
Scandinavian Journal of Urology,"43,37 %","6,07 %","4,06","7,66","0,07","2,89"
Clinical Obstetrics & Gynecology,"12,9 %","8,09 %","6,86","5,12","0,12","1,78"
European Journal of Cardiovascular Nursing,"64,74 %","3,65 %","7,14","6,22","0,05","17,6"
Gastric Cancer,"85,23 %","72,33 %","77,29","19,55","0,06","1,6"
Health Promotion Journal of Australia,"53,2 %","4,16 %","4,14","2,31","0,16","11,3"
Cell Proliferation,100 %,"8,78 %","14,75","23,85","0,05","1,21"
Veterinary Medicine and Science,100 %,"6,63 %","13,43",5,"0,2","1,87"
Journal of Environmental Radioactivity,"33,71 %","1,45 %","2,71","12,11","0,11","2,87"
Medical Physics,"49,81 %","7,17 %","44,64","16,03","0,04","2,29"
Atmospheric Research,"29,56 %","86,96 %","368,57","17,15","0,11","1,37"
Clinical Pharmacology Advances and Applications,100 %,"18,42 %",3,"11,51","0,2","1,8"
Soft Matter,"44,92 %","0,35 %","2,86","8,28","0,06","5,9"
Animals,100 %,"1,92 %","47,54","10,37","0,31","1,25"
Global Public Health,"63,95 %","6,31 %",9,"5,32","0,15","3,07"
FEMS Yeast Research,"99,86 %","2,82 %","1,71","10,74","0,03","3,1"
Revue Neurologique,"12,67 %","1,99 %","10,64","4,62","0,07","0,66"
Journal of Palliative Care,"27,06 %","8,11 %","3,86","5,31","0,07","5,9"
Medical Gas Research,100 %,"6,78 %","1,71","12,63","0,13","5,79"
Coastal Engineering,"53,92 %","1,74 %",2,"16,2","0,04","1,76"
Computer Methods and Programs in Biomedicine,"28,61 %","4,07 %",18,"23,32","0,06","1,24"
P & T : a peer-reviewed journal for formulary management,0 %,"9,17 %",3,"8,66","1,71","0,34"
Glomerular Diseases,100 %,40 %,"4,86","2,77","0,41","5,63"
Human & Experimental Toxicology,"48,69 %","6,39 %",8,"10,53","0,06","1,83"
Netherlands Heart Journal,100 %,"6,22 %","6,43","10,21","0,15","1,5"
Clinical and Experimental Nephrology,"34,25 %","6,85 %","9,86","7,13","0,09","1,44"
South African Medical Journal,100 %,"4,69 %","10,98","4,09","0,21","1,1"
Infection and Chemotherapy,100 %,"16,09 %","10,57","8,44","0,09","3,28"
Cost Effectiveness and Resource Allocation,100 %,"5,85 %","3,47","7,69","0,13","3,14"
Arab Journal of Urology,100 %,"4,95 %","2,4","5,97","0,13","0,82"
Experimental Brain Research,"40,66 %","1,49 %","3,71","8,56","0,06","3,49"
EJNMMI Research,100 %,"14,76 %","16,36","9,8","0,07","1,16"
Journal of the Chinese Medical Association,"98,4 %","6,77 %","12,31","6,56","0,1","0,74"
Current Research in Immunology,100 %,"21,74 %","2,14","9,63","0,43","2,38"
Applied Neuropsychology Adult,"17,33 %","3,59 %","3,71","3,21","0,33","3,09"
Journal of Applied Research in Intellectual Disabilities,"63,12 %","3,59 %","4,14","10,85","0,03","8,68"
Hematology/Oncology and Stem Cell Therapy,100 %,"36,55 %","13,79","8,34","0,05","2,32"
Computers in Biology and Medicine,"35,33 %","3,87 %","29,24","23,85","0,02","1,53"
Journal of Peptide Science,"37,97 %","3,39 %","2,22","7,36","0,17","2,48"
Southern African Journal of HIV Medicine,100 %,"11,27 %","4,43","4,13","0,11","3,75"
Current Research in Toxicology,100 %,"8,94 %","2,29","5,94","0,27","4,15"
Panminerva Medica,"6,63 %","7,91 %","8,91","8,69","0,7","1,2"
Current Diabetes Reviews,"6,97 %","3,82 %","4,21","8,78","0,09","1,27"
动物学研究,"94,9 %","3,86 %","3,29","6,6","0,2","2,98"
Chronic Illness,"37,66 %","4,68 %","1,86","5,19","0,06","7,39"
The Breast Journal,"93,3 %","4,9 %","9,33","6,42","0,24","2,34"
Pediatrics in Review,"2,77 %","2,82 %",4,"10,23","0,08","4,31"
Kidney Diseases,100 %,"9,49 %",4,"10,91","0,04","2,94"
Współczesna Onkologia,100 %,"23,05 %","8,86","18,04","0,13","1,28"
Immunological Medicine,100 %,"25,25 %","7,29","6,34","0,06","6,05"
Pediatric Allergy and Immunology,"43,81 %","7,39 %","13,29","9,44","0,04","5,37"
CNS Neuroscience & Therapeutics,100 %,"6,97 %","16,46","10,3","0,17","1,08"
Journal of Neuroimaging,"43,01 %","17,85 %","17,57","9,29","0,1","5,01"
Urology Annals,100 %,"10,39 %",8,"3,5","0,38","0,9"
Clinics,100 %,"6,22 %","10,71","7,98","0,08","1,45"
Clean Air Journal,100 %,"23,53 %","5,14","4,06","0,62","1,59"
Infection Genetics and Evolution,"60,47 %","23,57 %","68,71","9,18","0,11","2,72"
Biomicrofluidics,"93,92 %","3,41 %",3,"11,73","0,07","1,21"
Diabetes,"10,79 %","2,54 %","61,32","3,16","0,12","3,2"
Transfusion and Apheresis Science,"26,41 %","10,54 %","20,37","5,05","0,14","15,96"
The Journal for Nurse Practitioners,"28,06 %","2,21 %","5,71","1,92","0,05","2,37"
British Dental Journal,"83,51 %","1,06 %","12,71","7,18","0,03","6,32"
Seminars in Vascular Surgery,"27,6 %",6 %,"2,14","5,31","0,2","3,46"
BMC Neuroscience,100 %,"4,33 %","2,81","11,29","0,05","3,42"
Journal of Cardiovascular Computed Tomography,"15,97 %","1,96 %","5,06","5,22","0,03","9,66"
Ocean Science,100 %,"20,13 %","17,71","15,3","0,06","2,8"
JNCI Monographs,"89,92 %","24,17 %","4,14","13,48","0,27","1,15"
DARU Journal of Pharmaceutical Sciences,"88,52 %","9,66 %",4,"13,86","0,05","3,23"
Food Microbiology,"36,6 %","1,62 %","2,86","14,19","0,17","0,73"
História Ciências Saúde-Manguinhos,100 %,"2,6 %","2,29","1,63","0,27","6,08"
Journal of Refractive Surgery,"17,31 %","9,93 %","11,57","13,92","0,04","2,24"
Infectious Diseases Now,"40,71 %","5,11 %","16,14","9,2","0,06","3,2"
Thrombosis Update,100 %,"15,52 %","3,86","2,78","0,07","10,33"
Archives of Medical Research,"28,58 %","10,91 %","10,88","7,56","0,11","2,98"
Journal of Medical Imaging and Radiation Oncology,"39,09 %","9,47 %","14,07","6,61","0,04","6,43"
Cardiovascular Pathology,"23,48 %","26,08 %","18,14","8,46","0,04","5,74"
Journal of Mathematical Biology,"65,64 %","5,35 %",7,"13,42","0,48","1,52"
Veterinary and Animal Science,100 %,"4,48 %","2,29","5,3","0,07","2,5"
Revista Latino-Americana de Enfermagem,100 %,"2,13 %","3,43","7,59","0,11","2,41"
Wiley Interdisciplinary Reviews - RNA,"54,97 %","9,43 %","4,29","39,36","0,03","6,11"
European Journal of Surgical Oncology,"13,55 %","7,5 %","81,43","7,25","0,03","3,21"
Hydrology,100 %,"31,81 %","47,57","11,68","0,05","4,69"
Annals of Clinical Biochemistry International Journal of Laboratory Medicine,"32,94 %","7,42 %","5,26","13,61","0,03","2,94"
Biomaterials Advances,"29,86 %","3,4 %","5,5","5,77","0,13","1,12"
Pancreas,"22,7 %","20,18 %","41,34","11,68","0,05","4,27"
Journal of Flood Risk Management,"93,65 %","39,85 %","29,71","13,14","0,05","3,86"
Journal of Clinical Movement Disorders,100 %,56 %,2,"6,77","0,35","4,39"
Acta Ophthalmologica,"72,98 %","4,3 %","29,86","4,11","0,07","0,59"
Biophysical Reviews,"89,42 %","4,05 %","4,57","18,89","0,07","3,15"
Chemical and Pharmaceutical Bulletin,"99,04 %","3,94 %","5,75","11,83","0,05","2,09"
Frontiers in Sustainable Cities,100 %,"3,51 %","3,14","7,61","0,06","1,75"
Hematology,100 %,"25,15 %","29,86","5,65","0,11","1,12"
Advanced Biology,"59,3 %","4,31 %","7,27","8,96","0,06","3,42"
Diabetes & Metabolism,"42,53 %","3,5 %","1,93","17,48","0,07","1,91"
Acta Neurologica Belgica,"16,12 %","16,27 %","40,14","5,61","0,1","2,53"
Journal of Pharmaceutical and Biomedical Analysis,"16,6 %","2,55 %",15,"9,56","0,04","1,31"
Genome,"31,56 %","6,44 %","3,29","12,53","0,42","0,86"
The FASEB Journal,"32,93 %",3 %,142,"2,26","0,12","1,16"
Cognitive and Behavioral Neurology,"21,45 %","22,07 %",7,"4,66","0,75","1,5"
BMC Neurology,100 %,"9,22 %","36,36","7,55","0,09","1,39"
The Cerebellum,"49,17 %","37,91 %","44,14","8,8","0,11","2,74"
History of Geo- and Space Sciences,100 %,"15,22 %",2,"4,23","0,79","6,06"
Planetary and Space Science,"43,95 %","3,79 %","5,43","7,65","0,09","3,98"
Clinics in Dermatology,"15,07 %","11,69 %","13,57","10,12","0,13","1,72"
Infection Control and Hospital Epidemiology,"66,72 %","3,31 %","16,29","3,78","0,4","4,07"
Journal of Veterinary Emergency and Critical Care,"23,35 %","4,38 %","4,43","6,85","0,27","1,68"
Frontiers in Medical Technology,100 %,"6,11 %","2,71","4,25","0,2","3,23"
Cytoskeleton,"62,4 %","4,63 %","2,43","11,04","0,11","5,08"
Expert Review of Clinical Pharmacology,"26,54 %","7,23 %","7,94","10,63","0,05","0,77"
Skeletal Muscle,100 %,"29,27 %","8,57","12,82","0,01","6,7"
Molecular Genetics & Genomic Medicine,100 %,"16,16 %","45,93","7,81","0,06","1,26"
Chinese Chemical Letters,"3,68 %","1,42 %","11,79","17,16","0,02","1,79"
Exploration of Medicine,100 %,"8,13 %","2,68","4,61","0,22","3,3"
Journal of Pain and Symptom Management,"79,18 %","2,52 %","17,67","6,56","0,02","4,33"
The Yale Journal of Biology and Medicine,"17,75 %","14,25 %",8,"10,79","0,1","3,03"
Journal of International Medical Research,100 %,"10,06 %","73,86","5,71","0,18","0,76"
IUBMB Life,"71,74 %","8,83 %","11,68","12,31","0,04","1,53"
Indian Journal of Community Medicine,100 %,"3,65 %","7,32","3,35","0,36","0,93"
Nutrition and Health,"33,54 %","3,23 %","1,86","4,39","0,4","36,64"
Journal of Periodontology,"36,09 %","1,43 %","1,86","14,09","0,08","1,05"
Japanese Journal of Clinical Oncology,"56,22 %","13,21 %","26,52","8,45","0,03","0,84"
Medical Oncology,"29,56 %",17 %,"33,1","10,28","0,05","1,29"
Behavioural Neurology,100 %,"7,71 %","3,86","11,15","0,37","0,76"
Antibodies,100 %,17 %,11,"15,58","0,04","4,11"
Materia Socio Medica,"86,7 %","5,43 %","2,79","4,53","0,22","0,82"
Swiss Medical Weekly,100 %,"5,26 %","8,03","6,35","0,07","1,43"
Complementary Therapies in Clinical Practice,"23,3 %","1,72 %","1,86","7,7","0,61","1,3"
Veterinary Immunology and Immunopathology,"31,12 %","12,56 %","11,57","4,54","0,2","2,63"
Journal of Human Nutrition and Dietetics,"49,97 %","4,73 %","5,29","9,47","0,02",16
Saudi Medical Journal,"78,25 %",4 %,"8,53","5,45","0,04","1,52"
JBI Evidence Synthesis,"71,71 %","2,13 %","3,7","2,64","0,21","2,03"
Gastrointestinal Endoscopy,"34,34 %","13,54 %","247,71","5,61","0,12","3,18"
BioTechniques,100 %,"4,36 %","3,43","9,1","0,23","2,89"
Pain Management Nursing,"20,76 %","2,27 %","3,07","7,13","0,24","1,28"
Environmental Research Infrastructure and Sustainability,100 %,"6,6 %","1,86","2,24",1,"5,51"
The American Journal of Managed Care,"17,81 %","3,09 %","5,36","8,01","0,13","1,56"
European Heart Journal Acute Cardiovascular Care,"95,33 %","1,69 %","3,57","8,16","0,01","9,78"
Tuberculosis,"36,13 %","47,4 %","43,98","8,21","0,04","2,23"
Leukemia Research,"13,97 %","59,57 %","139,14","5,86","0,17","2,36"
Journal of Photochemistry and Photobiology B Biology,"17,84 %","3,77 %","7,03","18,52","0,02","1,17"
Pathogens and Disease,100 %,"28,14 %",16,"12,84","0,03","6,32"
Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,"39,26 %","11,54 %","8,57","9,47","0,03","6,92"
Non-Coding RNA,100 %,"9,87 %","5,5","13,08","0,07","1,82"
Bioorganic & Medicinal Chemistry Letters,20 %,"5,36 %","25,86","9,73","0,02","1,59"
WIREs Mechanisms of Disease,"60,4 %","9,23 %","3,57","27,98","0,02","6,42"
Behavioral Sciences,100 %,"0,72 %","2,29","7,4","0,1","4,21"
Adolescent Health Medicine and Therapeutics,100 %,"11,76 %","1,71","10,14","0,06","1,14"
World Neurosurgery,"11,32 %","7,05 %","150,9","5,99","0,08","1,32"
Asia-Pacific Journal of Clinical Oncology,"48,67 %","13,63 %","19,6","6,16","0,06","1,11"
International Journal of Obstetric Anesthesia,"16,23 %","2,53 %","4,14","3,38",1,"4,4"
IEEE Sensors Journal,"17,88 %","0,17 %","3,59","12,26","0,15","0,33"
PharmacoEconomics - Open,100 %,"8,67 %","5,57","5,35","0,11","2,13"
Journal of Psychosomatic Research,"34,16 %","1,82 %",5,"6,11","0,06","6,69"
Electromagnetic Biology and Medicine,"10,95 %","7,32 %","2,14","8,47","0,21","0,94"
Lipids in Health and Disease,100 %,"2,51 %","5,71","15,16","0,04","1,24"
Science China Earth Sciences,"9,36 %","14,75 %","23,43","15,19","0,87","0,16"
Open Access Macedonian Journal of Medical Sciences,"95,77 %","5,61 %","41,95","3,32","0,69","0,53"
Journal of Biophotonics,"39,98 %","4,66 %","11,79","8,2","0,06","3,45"
European Journal of Clinical Microbiology & Infectious Diseases,"40,3 %","14,58 %","36,29","8,25","0,16","3,08"
Veterinary Radiology & Ultrasound,"33,53 %","6,36 %","7,14","4,51","0,05","2,81"
Open Research Africa,"99,08 %","22,63 %","7,86","4,07","0,09","5,18"
European Journal of Paediatric Neurology,"32,26 %","20,32 %","24,57","8,02","0,04","2,36"
Frontiers for Young Minds,"96,74 %","1,36 %","2,67","1,29","0,15","13,51"
Journal of Virus Eradication,100 %,"2,78 %","2,93","6,98","0,04","1,75"
Environmental Science Atmospheres,100 %,"58,61 %","30,14","5,44","0,17","6,12"
Therapeutic Advances in Gastroenterology,100 %,"15,45 %",17,"14,77","0,07","1,52"
The Primary Care Companion For CNS Disorders,"6,26 %","2,26 %","3,57","4,48","0,19","9,75"
Community Dentistry And Oral Epidemiology,"48,51 %","2,57 %","2,14","6,79","0,05","3,77"
Journal of Nutrition and Metabolism,100 %,"4,58 %","1,71","6,39","0,05","1,75"
Immunotherapy Advances,"97,9 %","21,51 %","2,86","8,47","0,04","15,32"
The Journal of Maternal-Fetal & Neonatal Medicine,"33,31 %","4,25 %","22,18","7,4","0,12","1,34"
Biotechnology and Bioengineering,"49,89 %","2,12 %",6,"30,69","0,04","2,18"
Drug Discoveries & Therapeutics,"98,37 %","17,01 %","9,57","4,25","0,06","4,95"
Memórias do Instituto Oswaldo Cruz,100 %,"44,68 %","33,57","8,01","0,18","2,03"
Journal of Gastrointestinal Surgery,"17,31 %","31,89 %",115,"9,06","0,06","3,03"
Clinical Parkinsonism & Related Disorders,100 %,"16,54 %","6,29","5,16","0,31","1,62"
Breast Cancer Basic and Clinical Research,100 %,"17,61 %",4,"9,92","0,16","1,39"
Dysphagia,"38,44 %","16,03 %","19,71","8,85","0,03","6,59"
Physics in Medicine and Biology,"49,72 %","5,59 %","30,71","14,63","0,04","1,69"
"Ear, Nose & Throat Journal","96,18 %","7,13 %","28,33","3,4","0,1","1,15"
Aging and Cancer,100 %,"34,15 %",2,"3,3","0,22","2,32"
Journal of Mammary Gland Biology and Neoplasia,"67,21 %","17,42 %","4,43","10,56","0,05","8,68"
Applied Geochemistry,"31,68 %","3,32 %",8,"13,03","0,55","1,08"
Canadian Journal of Respiratory Therapy,100 %,"13,1 %","3,14","10,01","0,05","8,53"
Polar Science,"60,24 %","16,24 %",11,"7,39","0,15","2,28"
Expert Opinion on Drug Metabolism & Toxicology,"30,53 %","6,64 %","5,1","12,97","0,05","1,18"
Journal of Health Psychology,"45,26 %","2,29 %","3,03","5,31","0,06","2,92"
Seminars in Fetal and Neonatal Medicine,"26,06 %","15,34 %",8,"18,12","0,03","6,02"
Hydrobiologia,"35,74 %","1,08 %",3,"13,59","0,05","7,05"
Journal of Cardiovascular Pharmacology,"30,13 %","3,63 %","5,32","7,7","0,08","1,96"
Journal of Clinical Densitometry,"16,74 %","6,33 %","4,8","6,7","0,08","4,24"
JMIR Pediatrics and Parenting,100 %,"6,86 %",3,"7,48","0,02","5,88"
Environmental Toxicology and Pharmacology,"18,33 %","3,15 %","5,57","13,41","0,04","1,38"
Applied Soil Ecology,"23,62 %","0,64 %","2,14","40,53","0,02","0,99"
Current Stem Cell Reports,"46,1 %","17,05 %","3,14","4,58","0,03","2,54"
Vector-Borne and Zoonotic Diseases,"26,12 %","33,21 %","37,43","7,6","0,04","5,41"
Archivum Immunologiae et Therapiae Experimentalis,"63,92 %","21,61 %","6,14","9,49","0,06","7,35"
Journal of Anatomy,"86,21 %","2,24 %","3,65","9,58","0,06","4,96"
Behavioural Pharmacology,"28,4 %","4,2 %","2,14","6,49","0,2","1,08"
International Reviews of Immunology,"19,23 %","13,75 %","3,14","16,1","0,1","2,7"
Cellular & Molecular Biology Letters,100 %,"13,42 %","10,71","31,74","0,03","1,57"
Frontiers in Tropical Diseases,100 %,"47,88 %","24,14","3,46","0,38","3,96"
Clinical Transplantation,"28,19 %","7,52 %","22,57","7,44","0,06","1,88"
Journal of Animal Science,86 %,"1,33 %","23,01","4,29","0,2","0,66"
Current Hepatology Reports,"28,71 %","31,82 %",13,"4,61","0,07","3,81"
Pharmaceutical Medicine,"48,08 %","7,79 %","3,43","9,57","0,1","2,11"
Endoscopy International Open,100 %,"18,29 %","44,43","8,01","0,1","1,26"
Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,"29,37 %","10,37 %","8,43","9,71","0,21","2,57"
Laryngoscope Investigative Otolaryngology,100 %,"16,23 %","26,29","6,13","0,08","2,44"
Physiological Measurement,"44,32 %","2,85 %","3,82","10,66","0,03","1,42"
Radiation Research,"38,07 %","8,57 %","10,29","10,61","0,04","1,87"
Journal of Clinical Neuroscience,"13,88 %","8,46 %","40,62","6,81","0,09","1,66"
Seminars in Liver Disease,"39,42 %",35 %,14,"17,73","0,01","4,5"
Annals of Glaciology,100 %,"7,57 %","2,71","7,65","0,07","5,87"
Clinical and Applied Thrombosis/Hemostasis,100 %,"5,99 %","8,57","8,17","0,12","1,07"
Journal of Thrombosis and Thrombolysis,"36,14 %","5,53 %","10,85","6,45","0,05","1,68"
Journal of Cystic Fibrosis,"77,78 %","20,86 %","212,71","4,48","0,06","1,13"
Psychology of Addictive Behaviors,"50,23 %","7,22 %","9,29","7,68","0,21","0,72"
Diagnostic Pathology,100 %,"21,58 %","26,14","10,12","0,07","1,16"
Journal of Hand Surgery (European Volume),"20,43 %","2,09 %","4,71","5,12","0,2","1,23"
Infection and Drug Resistance,100 %,"10,53 %","52,07","9,61","0,05",2
Advances in Hematology,100 %,"41,55 %","5,29","7,3","0,2",1
Current Opinion in Ophthalmology,"17,04 %","14,69 %","12,71","14,38","0,03","3,27"
Journal of Colloid and Interface Science,"13,73 %","0,39 %","6,83","19,81","0,09","0,95"
Current Pharmacology Reports,"25,07 %","15,35 %","4,71","21,94","0,07","2,05"
International Journal of Retina and Vitreous,100 %,"9,75 %","6,3","5,75","0,13","0,81"
The International Journal of Biochemistry & Cell Biology,"22,44 %","13,53 %","16,86","14,6","0,07","1,97"
BMC Psychology,100 %,"1,44 %","2,94","7,89","0,05","4,43"
Archivio Italiano di Urologia e Andrologia,100 %,"5,9 %","4,86","6,07","0,09","1,15"
Cellular Microbiology,"96,88 %",22 %,17,"10,4","0,01","5,12"
Cell Regeneration,100 %,"8,7 %",2,"10,55","0,19","1,93"
Die Kardiologie,"28,96 %","4,51 %","2,71","2,94","0,4","0,95"
Computers & Geosciences,"36,28 %","3,47 %","5,43","9,91","0,12","1,44"
